brand,model,ram,storage,price,display_size,display_type
Poco,X7 Pro,12,512,78000,6.67,AMOLED
Nubia,Red Magic 10 Pro,12,256,176000,6.85,AMOLED
Realme,Neo7,12,256,76000,6.78,AMOLED
Oppo,Reno12,16,256,61000,6.7,AMOLED
Honor,X5b Plus,4,128,23000,6.56,HD
Vivo,V50,12,256,82000,6.7,AMOLED
Xiaomi,15,12,512,148000,6.36,AMOLED
Xiaomi,15 Ultra,16,512,236000,6.73,AMOLED
Samsung,Galaxy F15,6,128,36000,6.6,Super AMOLED
OnePlus,Ace 5 Pro,12,256,114000,6.78,Super AMOLED
Apple,iPhone 17 Pro Max 12/256GO 2SIM,12,256,410000,6.9,Rétina HD
Samsung,Galaxy A56,12,256,82000,6.7,Super AMOLED
Vivo,X200 Pro,16,512,190000,7,AMOLED
Samsung,Galaxy F16,6,128,36000,6.7,Super AMOLED
Realme,13,12,256,54000,6.72,Full HD
Realme,C71,6,128,33000,6.67,HD
Oppo,K13 Turbo Pro,12,256,81000,6.88,AMOLED
Samsung,S22 Ultra 5G,12,256,118000,6.8,Super AMOLED
Xiaomi,Redmi 10A,4,64,23000,6.53,NC
Samsung,S22,8,128,60000,6.1,Super AMOLED
Apple,iPhone 14 Pro 6/256GB DS,6,256,169000,6.7,Rétina
Apple,iPhone 14 6/128GB DS,6,128,153000,6.1,Rétina
Apple,iPhone 14 Plus,6,128,119900,6.7,Rétina
Samsung,S22 Ultra 5G,12,512,115000,6.8,Super AMOLED
Google,Pixel 7 Pro,12,128,69500,6.3,AMOLED
Google,Pixel 7 Pro,12,256,86000,6.3,AMOLED
Xiaomi,Mi 12T,8,128,59000,6.67,AMOLED
Xiaomi,Redmi 10A,4,128,18000,6.53,NC
Samsung,S23,8,128,78000,6.1,AMOLED
Samsung,S23+,8,256,89500,6.6,AMOLED
Samsung,M04,4,64,21000,6,HD
Xiaomi,Redmi 10A,2,32,23000,6.53,NC
Samsung,A14,4,64,26000,6.6,Full HD
Xiaomi,Redmi Note 12,6,128,34000,6.67,AMOLED
Xiaomi,Redmi 12C,6,128,25000,6.71,HD
Xiaomi,Redmi Note 12,8,256,41000,6.67,AMOLED
Realme,11 Pro+,12,512,67000,6.7,AMOLED
Nubia,Red Magic 8S Pro,16,512,189000,6.8,AMOLED
Oppo,A78,8,256,46900,6.43,AMOLED
Xiaomi,Redmi 12C,4,64,22000,6.71,HD
Realme,11 Pro+,12,256,61000,6.7,AMOLED
Oppo,A58,6,128,2900,6.72,Full HD
Honor,Magic5 Pro,12,256,81000,6.81,AMOLED
Google,Pixel 8 Pro,12,128,142000,6.7,AMOLED
Google,Pixel 8 Pro,12,512,157000,6.7,AMOLED
Google,Pixel 8,8,128,92000,6.2,AMOLED
Xiaomi,Mi 13T Pro,12,512,79500,6.67,AMOLED
OnePlus,Ace 2 Pro,16,512,69000,6.74,AMOLED
OnePlus,11,16,512,89000,6.7,AMOLED
Honor,X7b,8,256,46000,6.8,Full HD
Samsung,A05,6,128,31000,6.7,HD
Oppo,A2 Pro,12,256,49000,6.7,AMOLED
Samsung,A15,6,128,38000,6.5,Super AMOLED
Samsung,A15,8,128,41000,6.5,Super AMOLED
Samsung,A15,8,256,45000,6.5,Super AMOLED
Samsung,S24 Ultra,12,512,226000,6.8,AMOLED
Samsung,S24+,12,256,115000,6.7,AMOLED
Xiaomi,Redmi 12 5G,8,256,21000,6.79,Full HD
Realme,12 Pro+,8,256,80000,6.7,AMOLED
Samsung,Galaxy A25,8,128,50000,6.5,Super AMOLED
Samsung,Galaxy A25,6,128,44000,6.5,Super AMOLED
Honor,X5 Plus,4,64,22000,6.56,HD
Itel,A70,4,256,21000,6.6,HD
INFINIX,Hot 40i,8,128,25000,6.56,HD
INFINIX,Hot 40i,4,128,23000,6.56,HD
INFINIX,Smart 8,4,128,20000,6.6,HD
Google,Pixel 7,8,256,75000,6.3,AMOLED
Itel,A70,4,64,16000,6.6,HD
OnePlus,12R,12,256,67000,6.78,AMOLED
OnePlus,12R,16,512,73000,6.78,AMOLED
Google,Pixel 8a,8,128,79000,6.1,AMOLED
Oppo,A60,8,256,37000,6.67,Full HD
Samsung,F34,6,128,40000,6.5,Super AMOLED
Realme,12 Pro,12,512,62000,6.7,AMOLED
Realme,12 Pro,8,256,63000,6.7,AMOLED
Oppo,Reno11,8,256,57000,6.7,AMOLED
Vivo,Y03,4,128,24000,6.56,HD
Realme,C65 5G,8,256,32000,6.67,HD
Samsung,Z Flip6,12,256,168000,6.7,AMOLED
Oppo,A3x,4,64,27000,6.67,HD
Realme,C61,6,256,29000,6.74,HD
Xiaomi,Redmi A3x,4,64,19000,6.71,HD
Samsung,F55,12,256,57000,6.7,Super AMOLED
Samsung,F55,8,128,42000,6.7,Super AMOLED
Honor,200,12,512,82000,6.7,AMOLED
Oppo,A80,8,256,48000,6.67,HD
Itel,P55,8,256,22000,6.6,HD
Xiaomi,Redmi Note 13 4G,6,256,37000,6.67,AMOLED
Xiaomi,Redmi Note 13 4G,6,128,35000,6.67,AMOLED
Realme,GT NEO6 SE,16,512,72000,6.78,AMOLED
Samsung,A15 5G,6,128,2900,6.5,Super AMOLED
Oppo,Reno12 F,12,256,42000,6.7,AMOLED
Apple,iPhone 16 Pro,8,128,229000,6.3,Rétina
Oppo,Reno12,12,256,59000,6.7,AMOLED
INFINIX,Note 40,8,256,46000,6.78,AMOLED
Honor,Magic 7 pro,12,256,186000,6.8,AMOLED
Honor,X6b,6,128,27000,6.56,HD
Realme,C65 5G,8,128,32000,6.67,HD
Realme,13 Pro+,8,256,65000,6.7,AMOLED
Oppo,A3x (China),6,128,33000,6.67,HD
Honor,X6b,6,256,2700,6.56,HD
Condor,GT60 PRO,16,256,37000,6,AMOLED
Oppo,A3,6,128,35000,6.7,HD
Vivo,V40 LITE,8,256,53000,6.7,AMOLED
Realme,13 PRO PLUS 5G,12,256,68000,6.7,AMOLED
Realme,12 PRO PLUS,8,256,72000,6.7,AMOLED
Oppo,A3,8,256,35000,8,HD
Realme,GT6,12,256,80000,6.7,AMOLED
Google,Pixel 9 Pro,8,128,132000,6.3,OLED
TECNO,MOBILE  Tecno Spark 20,12,256,24000,6.6,HD
Poco,X7,8,256,59000,6.67,AMOLED
Poco,X7 Pro,12,256,75000,6.67,AMOLED
Samsung,Galaxy S25,12,128,138000,6.2,AMOLED
Poco,F6 Pro,12,512,88000,6.67,AMOLED
Realme,Neo7,12,512,73000,6.78,AMOLED
Samsung,Galaxy S25,12,256,129000,6.2,AMOLED
INFINIX,Smart 9,3,64,18000,6.7,HD
INFINIX,Hot 50,8,128,27000,6.7,HD
Realme,14 Pro,8,256,65000,6.77,OLED
Realme,14 Pro Plus,8,256,75000,6.8,OLED
Vivo,V50,8,256,78000,6.7,AMOLED
Realme,13 PRO PLUS 5G,8,256,65000,6.7,AMOLED
Oppo,Reno12 Pro,16,256,55000,6.7,AMOLED
Samsung,Galaxy A36,8,256,67000,6.7,Super AMOLED
Samsung,Galaxy A36,12,256,68000,6.7,Super AMOLED
Xiaomi,Redmi Note 14 Pro 5G,12,512,54500,6.67,AMOLED
ACE,buzz 6 Prime,8,64,16000,6.6,HD
Condor,GT70,12,256,27000,6.8,Full HD
